[Mon Aug 11 15:53:01 2025] >> testing accuracy: 0.0505
[Mon Aug 11 15:53:01 2025] >> testing accuracy: 0.0505
[Mon Aug 11 15:53:04 2025] >> testing accuracy: 0.0463
[Mon Aug 11 15:53:07 2025] >> testing accuracy: 0.0391
[Mon Aug 11 15:53:10 2025] >> testing accuracy: 0.0361
[Mon Aug 11 15:53:13 2025] >> testing accuracy: 0.0336
[Mon Aug 11 15:53:16 2025] >> testing accuracy: 0.0319
[Mon Aug 11 15:53:19 2025] >> testing accuracy: 0.0297
[Mon Aug 11 15:53:22 2025] >> testing accuracy: 0.0281
[Mon Aug 11 15:53:26 2025] >> testing accuracy: 0.0288
[Mon Aug 11 15:53:29 2025] >> testing accuracy: 0.0246
[Mon Aug 11 15:53:32 2025] >> testing accuracy: 0.0248
[Mon Aug 11 15:53:35 2025] >> testing accuracy: 0.0250
[Mon Aug 11 15:53:38 2025] >> testing accuracy: 0.0214
[Mon Aug 11 15:53:41 2025] >> testing accuracy: 0.0242
[Mon Aug 11 15:53:44 2025] >> testing accuracy: 0.0221
[Mon Aug 11 15:53:48 2025] >> testing accuracy: 0.0224
[Mon Aug 11 15:53:51 2025] >> testing accuracy: 0.0212
[Mon Aug 11 15:53:54 2025] >> testing accuracy: 0.0204
[Mon Aug 11 15:53:57 2025] >> testing accuracy: 0.0198
[Mon Aug 11 15:54:01 2025] >> testing accuracy: 0.0213
[Mon Aug 11 15:54:04 2025] >> testing accuracy: 0.0187
[Mon Aug 11 15:54:07 2025] >> testing accuracy: 0.0236
[Mon Aug 11 15:54:11 2025] >> testing accuracy: 0.0181
[Mon Aug 11 15:54:14 2025] >> testing accuracy: 0.0200
[Mon Aug 11 15:54:18 2025] >> testing accuracy: 0.0188
[Mon Aug 11 15:54:21 2025] >> testing accuracy: 0.0215
[Mon Aug 11 15:54:24 2025] >> testing accuracy: 0.0227
[Mon Aug 11 15:54:28 2025] >> testing accuracy: 0.0200
[Mon Aug 11 15:54:31 2025] >> testing accuracy: 0.0183
[Mon Aug 11 15:54:35 2025] >> testing accuracy: 0.0194
[Mon Aug 11 15:54:38 2025] >> testing accuracy: 0.0188
[Mon Aug 11 15:54:42 2025] >> testing accuracy: 0.0209
[Mon Aug 11 15:54:45 2025] >> testing accuracy: 0.0219
[Mon Aug 11 15:54:49 2025] >> testing accuracy: 0.0189
[Mon Aug 11 15:54:53 2025] >> testing accuracy: 0.0191
[Mon Aug 11 15:54:56 2025] >> testing accuracy: 0.0190
[Mon Aug 11 15:55:00 2025] >> testing accuracy: 0.0187
[Mon Aug 11 15:55:04 2025] >> testing accuracy: 0.0192
[Mon Aug 11 15:55:07 2025] >> testing accuracy: 0.0179
[Mon Aug 11 15:55:11 2025] >> testing accuracy: 0.0199
